,AKBNK,ALBRK,DENIZ,FINBN,GARAN,ICBCT,ISATR,ISBTR,ISCTR,SKBNK,HALKB,KLNMA,TSKB,VAKBN,YKBNK
04/01/1999,837.50,0.00,0.00,63.25,415.00,15.93,7.50,12.18,"1,065.78",13.83,0.00,220.00,14.80,0.00,546.63
05/01/1999,887.50,0.00,0.00,64.63,450.00,15.23,7.50,12.04,"1,078.47",13.65,0.00,235.00,15.20,0.00,559.96
06/01/1999,887.50,0.00,0.00,65.31,480.00,15.58,7.50,12.91,"1,141.91",13.83,0.00,285.00,15.80,0.00,573.29
07/01/1999,850.00,0.00,0.00,62.56,445.00,14.70,7.50,12.47,"1,116.54",13.30,0.00,285.00,15.20,0.00,566.63
08/01/1999,800.00,0.00,0.00,62.56,445.00,14.70,7.50,12.18,"1,116.54",13.30,0.00,310.00,14.80,0.00,546.63
11/01/1999,800.00,0.00,0.00,59.81,445.00,14.18,7.50,11.75,"1,091.16",13.48,0.00,295.00,14.20,0.00,526.63
12/01/1999,775.00,0.00,0.00,57.75,455.00,15.58,7.50,11.89,"1,116.54",13.13,0.00,295.00,14.80,0.00,533.29
13/01/1999,700.00,0.00,0.00,55.00,410.00,14.53,7.50,11.17,"1,015.03",12.08,0.00,260.00,14.00,0.00,479.96
14/01/1999,750.00,0.00,0.00,58.44,430.00,15.93,7.50,11.60,"1,040.41",12.95,0.00,285.00,14.20,0.00,493.30
15/01/1999,737.50,0.00,0.00,59.13,415.00,15.75,7.50,11.17,989.66,12.78,0.00,275.00,14.40,0.00,466.63
25/01/1999,700.00,0.00,0.00,61.88,400.00,15.23,7.50,11.02,964.28,11.73,0.00,255.00,13.40,0.00,459.97
26/01/1999,725.00,0.00,0.00,63.25,450.00,16.98,7.50,11.46,964.28,12.25,0.00,250.00,14.00,0.00,459.97
27/01/1999,775.00,0.00,0.00,65.31,450.00,8.40,7.50,11.75,"1,002.34",12.60,0.00,260.00,14.20,0.00,519.96
28/01/1999,762.50,0.00,0.00,64.63,425.00,8.05,7.50,11.46,976.97,12.25,0.00,250.00,14.00,0.00,519.96
29/01/1999,775.00,0.00,0.00,66.69,440.00,8.05,7.50,11.75,"1,002.34",12.25,0.00,260.00,14.00,0.00,519.96
01/02/1999,812.50,0.00,0.00,66.69,440.00,7.53,7.50,12.04,"1,040.41",12.78,0.00,255.00,14.40,0.00,579.96
02/02/1999,800.00,0.00,0.00,66.00,425.00,7.35,7.50,11.89,"1,002.34",13.65,0.00,245.00,14.20,0.00,579.96
03/02/1999,800.00,0.00,0.00,65.31,420.00,7.00,7.50,12.18,"1,015.03",13.65,0.00,245.00,15.40,0.00,599.96
04/02/1999,850.00,0.00,0.00,69.44,430.00,7.49,7.50,12.62,"1,065.78",13.65,0.00,290.00,16.00,0.00,646.62
05/02/1999,825.00,0.00,0.00,68.75,420.00,7.18,7.50,12.47,"1,065.78",13.30,0.00,275.00,16.20,0.00,633.29
08/02/1999,837.50,0.00,0.00,72.88,420.00,7.35,7.50,12.91,"1,065.78",13.13,0.00,275.00,15.60,0.00,659.95
09/02/1999,912.50,0.00,0.00,77.00,470.00,7.70,7.50,13.49,"1,103.85",14.00,0.00,275.00,15.60,0.00,733.28
10/02/1999,950.00,0.00,0.00,77.00,500.00,7.53,7.50,13.49,"1,179.97",13.83,0.00,270.00,15.00,0.00,759.94
11/02/1999,975.00,0.00,0.00,75.63,475.00,8.05,7.50,14.36,"1,256.10",16.45,0.00,265.00,15.40,0.00,746.61
12/02/1999,987.50,0.00,0.00,77.00,485.00,8.23,7.50,14.21,"1,256.10",14.35,0.00,280.00,15.00,0.00,759.94
15/02/1999,975.00,0.00,0.00,75.63,485.00,8.05,7.50,14.36,"1,268.79",14.00,0.00,275.00,15.60,0.00,719.95
16/02/1999,"1,087.50",0.00,0.00,83.88,545.00,8.58,7.50,15.08,"1,459.11",14.35,0.00,285.00,16.20,0.00,799.94
17/02/1999,"1,212.50",0.00,0.00,83.88,600.00,8.75,7.50,17.11,"1,681.15",14.18,0.00,290.00,15.80,0.00,866.60
18/02/1999,"1,212.50",0.00,0.00,82.50,562.50,8.58,7.50,17.40,"1,744.59",14.35,0.00,280.00,16.40,0.00,813.27
19/02/1999,"1,200.00",0.00,0.00,82.50,587.50,9.45,7.50,16.82,"1,681.15",14.35,0.00,290.00,17.80,0.00,866.60
22/02/1999,"1,187.50",0.00,0.00,78.38,562.50,9.10,9.08,17.11,"1,585.99",14.18,0.00,300.00,18.40,0.00,826.61
23/02/1999,"1,112.50",0.00,0.00,75.63,525.00,8.93,9.08,16.53,"1,490.83",13.48,0.00,315.00,18.40,0.00,786.61
24/02/1999,"1,137.50",0.00,0.00,79.75,537.50,9.10,9.08,16.82,"1,459.11",15.05,0.00,310.00,18.00,0.00,799.94
25/02/1999,"1,200.00",0.00,0.00,79.75,612.50,9.28,9.99,17.40,"1,585.99",14.35,0.00,315.00,18.40,0.00,853.27
26/02/1999,"1,200.00",0.00,0.00,82.50,650.00,9.63,9.99,18.85,"1,681.15",14.53,0.00,310.00,18.20,0.00,826.61
01/03/1999,"1,212.50",0.00,0.00,85.25,637.50,9.63,9.99,20.30,"1,617.71",14.88,0.00,305.00,18.40,0.00,799.94
02/03/1999,"1,200.00",0.00,0.00,85.25,637.50,25.00,9.99,20.01,"1,554.27",14.18,0.00,295.00,18.20,0.00,786.61
03/03/1999,"1,237.50",0.00,0.00,90.75,650.00,25.50,12.09,20.59,"1,617.71",14.35,0.00,330.00,18.40,0.00,839.94
04/03/1999,"1,200.00",0.00,0.00,90.75,612.50,25.50,10.54,20.59,"1,617.71",13.83,0.00,335.00,18.20,0.00,813.27
05/03/1999,"1,212.50",0.00,0.00,94.88,650.00,28.50,10.54,20.30,"1,617.71",15.23,0.00,365.00,18.80,0.00,839.94
08/03/1999,"1,200.00",0.00,0.00,93.50,675.00,29.50,10.54,20.59,"1,617.71",15.40,0.00,425.00,20.40,0.00,813.27
09/03/1999,"1,212.50",0.00,0.00,93.50,712.50,33.50,10.54,21.75,"1,712.87",15.40,0.00,405.00,21.20,0.00,853.27
10/03/1999,"1,200.00",0.00,0.00,89.38,675.00,31.00,10.54,21.75,"1,712.87",15.75,0.00,390.00,20.00,0.00,826.61
11/03/1999,"1,250.00",0.00,0.00,96.25,700.00,32.00,12.30,23.78,"1,839.75",16.10,0.00,400.00,24.00,0.00,866.60
12/03/1999,"1,262.50",0.00,0.00,99.00,725.00,32.00,12.30,26.97,"1,808.03",16.28,0.00,385.00,22.80,0.00,893.27
15/03/1999,"1,237.50",0.00,0.00,93.50,712.50,31.00,12.30,30.16,"1,808.03",15.93,0.00,390.00,22.00,0.00,866.60
16/03/1999,"1,187.50",0.00,0.00,90.75,687.50,30.50,14.11,33.35,"1,744.59",16.63,0.00,380.00,20.80,0.00,813.27
17/03/1999,"1,250.00",0.00,0.00,96.25,700.00,30.50,17.09,39.73,"1,839.75",17.33,0.00,385.00,23.20,0.00,826.61
18/03/1999,"1,343.75",0.00,0.00,96.25,712.50,31.50,17.09,39.15,"1,871.47",19.25,0.00,385.00,22.80,0.00,853.27
19/03/1999,"1,343.75",0.00,0.00,97.63,750.00,32.00,17.09,33.06,"1,934.90",19.60,0.00,380.00,24.40,0.00,879.94
22/03/1999,"1,343.75",0.00,0.00,97.63,750.00,32.00,18.80,37.12,"1,934.90",19.25,0.00,380.00,23.60,0.00,879.94
23/03/1999,"1,312.50",0.00,0.00,100.38,737.50,32.50,20.00,36.25,"1,934.90",18.90,0.00,375.00,23.60,0.00,853.27
24/03/1999,"1,312.50",0.00,0.00,96.25,712.50,32.00,20.00,35.38,"1,871.47",19.95,0.00,360.00,23.60,0.00,839.94
25/03/1999,"1,406.25",0.00,0.00,105.88,725.00,33.50,20.00,36.54,"1,998.34",20.30,0.00,370.00,25.60,0.00,879.94
